Date,HTB
2013-04-10,14.48508071899414
2013-04-11,14.39432144165039
2013-04-12,14.457852363586426
2013-04-15,14.339866638183594
2013-04-16,14.385245323181152
2013-04-17,14.122045516967773
2013-04-18,14.049439430236816
2013-04-19,14.049439430236816
2013-04-22,14.031285285949707
2013-04-23,14.258182525634766
2013-04-24,14.30356216430664
2013-04-25,14.385245323181152
2013-04-26,14.312643051147461
2013-04-29,14.312643051147461
2013-04-30,14.476005554199219
2013-05-01,14.258182525634766
2013-05-02,14.44877815246582
2013-05-03,14.512306213378906
2013-05-06,14.702900886535645
2013-05-07,14.684745788574219
2013-05-08,14.875340461730957
2013-05-09,14.793657302856445
2013-05-10,14.666594505310059
2013-05-13,14.548612594604492
2013-05-14,14.539534568786621
2013-05-15,14.584912300109863
